row_index,cell_1_icon_src,cell_1_icon_alt,cell_2_name_link_text,cell_2_full_text,cell_3_img_srcs,cell_3_img_alts,cell_4_text
1,/thumb.php?f=101010211_rank5_command.png&width=80,101010211 rank5 command.png,Linaria,"| Linaria | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 1.png, 202000001 icon.png, 216000002 icon.png",2025-06-05
2,/thumb.php?f=101050211_rank5_command.png&width=80,101050211 rank5 command.png,Selfless Seeker,"| Selfless Seeker | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 2.png, 202000005 icon.png, 216000004 icon.png",2025-05-22
3,/thumb.php?f=101060141_s2_rank5_command.png&width=80,101060141 s2 rank5 command.png,Red Clad Flam. (Another Style),"| Red Clad Flam. (Another Style) | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, Skill Type 8 64.png, 202000006 icon.png, 216000003 icon.png",2025-05-08
4,/thumb.php?f=101070131_s2_rank5_command.png&width=80,101070131 s2 rank5 command.png,Velette AS,"| Velette AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 16.png, 202000007 icon.png, 216000002 icon.png",2025-04-24
5,/thumb.php?f=2000000009_s2_command.png&width=80,2000000009 s2 command.png,Gunce (Another Style),"| Gunce (Another Style) | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2025-04-24
6,/thumb.php?f=101910011_s2_rank5_command.png&width=80,101910011 s2 rank5 command.png,Aldo AS,"| Aldo AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_0.png&width=32, /thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 0.png, Skill Type 8 1.png, 202000001 icon.png, 216000002 icon.png",2025-04-12
7,/thumb.php?f=101060201_rank5_command.png&width=80,101060201 rank5 command.png,Nilya,"| Nilya | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 64.png, 202000006 icon.png, 216000003 icon.png",2025-04-12
8,/thumb.php?f=2000000016_command.png&width=80,2000000016 command.png,Jilya,"| Jilya | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2025-04-12
9,/thumb.php?f=101020031_s3_rank5_command.png&width=80,101020031 s3 rank5 command.png,Shion ES,"| Shion ES | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 16.png, 202000002 icon.png, 216000004 icon.png",2025-04-12
10,/thumb.php?f=2000000017_rank5_command.png&width=80,2000000017 rank5 command.png,Laika,"| Laika | 
 | 3~5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2025-04-12
